
Old Testament 1		      Old Testament 2		       New Testamemt
1 Sam. 30, 31           Micah 1, 2               Rom. 9:1-29
2 Sam. 1                Micah 3:1 to 4:8         Rom. 9:30 to 10:21
2 Sam. 2                Micah 4:9 to 5:15        Rom. 11:1-15
2 Sam. 3                Micah 6                  Rom. 11:16-36
2 Sam. 4, 5             Micah 7                  Rom. 12
2 Sam. 6                Nahum 1                  Rom. 13
2 Sam. 7                Nahum 2, 3               Rom. 14:1-18
2 Sam. 8, 9             Hab. 1                   Rom. 14:19 to 15:13
2 Sam. 10, 11           Hab. 2                   Rom. 15:14-33
2 Sam. 12               Hab. 3                   Rom. 16
2 Sam. 13               Zeph. 1                  Gal. 1
2 Sam. 14               Zeph. 2                  Gal. 2
2 Sam. 15               Zeph. 3                  Gal. 3:1-14

September
2 Sam. 16, 17           Jer. 1                   Gal. 3:15-29
2 Sam. 18:1 to 19:8     Jer. 2                   Gal. 4:1-20
2 Sam. 19:9-43          Jer. 3:1 to 4:2          Gal. 4:21 to 5:9
2 Sam. 20               Jer. 4:3-31              Gal. 5:10-26
2 Sam. 21               Jer. 5                   Gal. 6
2 Sam. 22               Jer. 6                   Eph. 1:1-14
2 Sam. 23               Jer. 7                   Eph. 1:15 to 2:10
2 Sam. 24               Jer. 8                   Eph. 2:11-22
1 Kings 1               Jer. 9                   Eph. 3
1 Kings 2               Jer. 10                  Eph. 4:1-16
1 Kings 3               Jer. 11                  Eph. 4:17-32
1 Kings 4, 5            Jer. 12                  Eph. 5:1-21
1 Kings 6               Jer. 13                  Eph. 5:22 to 6:9
1 Kings 7               Jer. 14                  Eph. 6:10-24
1 Kings 8:1-30          Jer. 15                  Phil. 1:1-20
1 Kings 8:31-66         Jer. 16                  Phil. 1:21 to 2:11
1 Kings 9               Jer. 17                  Phil. 2:12-30
1 Kings 10              Jer. 18                  Phil. 3:1 to 4:1
1 Kings 11              Jer. 19, 20              Phil. 4:2-23
1 Kings 12:1-24         Jer. 22                  Col. 1:1-20
1 Kings 12:25 to 13:32  Jer. 23                  Col. 1:21 to 2:7
1 Kings 13:33 to 14:31  Jer. 25                  Col. 2:8 to 3:4
1 Kings 15:1-32         Jer. 26                  Col. 3:5 to 4:1
1 Kings 15:33 to 16:34  Jer. 35                  Col. 4:2-18
1 Kings 17              Jer. 36, 45              Philemon
1 Kings 18              Jer. 46, 47              Heb. 1
1 Kings 19              Jer. 48                  Heb. 2
1 Kings 20              Jer. 49                  Heb. 3
1 Kings 21              Jer. 50                  Heb. 4:1-13
1 Kings 22              Jer. 51:1-24             Heb. 4:14 to 5:10

October
2 Kings 1               Jer. 51:25-64            Heb. 5:11 to 6:20
2 Kings 2               Jer. 24, 29              Heb. 7
2 Kings 3               Jer. 30                  Heb. 8
2 Kings 4               Jer. 31                  Heb. 9:1-14
2 Kings 5               Jer. 27, 28              Heb. 9:15-28
2 Kings 6:1-23          Jer. 21, 34              Heb. 10:1-18
2 Kings 6:24 to 7:20    Jer. 37                  Heb. 10:19-39
2 Kings 8               Jer. 32:1-25             Heb. 11:1-16
2 Kings 9               Jer. 32:26-44            Heb. 11:17-40
2 Kings 10              Jer. 33                  Heb. 12:1-17
2 Kings 11, 12          Jer. 38                  Heb. 12:18 to 13:6
2 Kings 13:1 to 14:22   Jer. 39                  Heb. 13:7-25
2 Kings 14:23 to 15:31  Jer. 40                  Titus 1:1 to 2:8
2 Kings 15:32 to 16:20  Jer. 41                  Titus 2:9 to 3:15
2 Kings 17              Jer. 42, 43              1 Tim. 1
2 Kings 18              Jer. 44                  1 Tim. 2
2 Kings 19              Jer. 52                  1 Tim. 3
2 Kings 20:1 to 21:18   Lam. 1                   1 Tim. 4
2 Kings 21:19 to 22:20  Lam. 2                   1 Tim. 5
2 Kings 23              Lam. 3                   1 Tim. 6
2 Kings 24              Lam. 4, 5                2 Tim. 1
2 Kings 25              Ezek. 1                  2 Tim. 2
1 Chron. 1              Ezek. 2:1 to 3:15        2 Tim. 3
1 Chron. 2              Ezek. 3:16 to 4:17       2 Tim. 4
1 Chron. 3:1 to 4:23    Ezek. 5, 6               John 1:1-18
1 Chron. 4:24 to 5:26   Ezek. 7                  John 1:19-51
1 Chron. 6              Ezek. 8, 9               John 2:1-22
1 Chron. 7              Ezek. 10                 John 2:23 to 3:21
1 Chron. 8, 9           Ezek. 11                 John 3:22-36
1 Chron. 10, 11         Ezek. 12                 John 4:1-30
1 Chron. 12             Ezek. 13                 John 4:31-54

November
1 Chron. 13, 14          Ezek. 14, 15            John 5:1-23
1 Chron. 15              Ezek. 16:1-34           John 5:24-47
1 Chron. 16              Ezek. 16:35-63          John 6:1-21
1 Chron. 17, 18          Ezek. 17                John 6:22-40
1 Chron. 19, 20          Ezek. 18, 19            John 6:41 to 7:1
1 Chron. 21              Ezek. 20:1-44           John 7:2-30
1 Chron. 22, 23          Ezek. 20:45 to 21:32    John 7:31 to 8:11
1 Chron. 24, 25          Ezek. 22                John 8:12-30
1 Chron. 26, 27          Ezek. 23                John 8:31-59
1 Chron. 28              Ezek. 24, 25            John 9:1-17
1 Chron. 29              Ezek. 26                John 9:18-38
2 Chron. 1, 2            Ezek. 27                John 9:39 to 10:18
2 Chron. 3, 4            Ezek. 28                John 10:19-42
2 Chron. 5:1 to 6:11     Ezek. 29:1 to 30:19     John 11:1-27
2 Chron. 6:12-42         Ezek. 30:20 to 31:18    John 11:28-54
2 Chron. 7               Ezek. 32                John 11:55 to 12:19
2 Chron. 8, 9            Ezek. 33                John 12:20-50
2 Chron. 10, 11          Ezek. 34                John 13:1-30
2 Chron. 12, 13          Ezek. 35:1 to 36:15     John 13:31 to 14:14
2 Chron. 14, 15          Ezek. 36:16-38          John 14:15-31
2 Chron. 16, 17          Ezek. 37                John 15:1-16
2 Chron. 18, 19          Ezek. 38                John 15:17 to 16:15
2 Chron. 20              Ezek. 39                John 16:16-33
2 Chron. 21, 22          Ezek. 40                John 17
2 Chron. 23, 24          Ezek. 41                John 18:1-27
2 Chron. 25              Ezek. 42                John 18:28 to 19:16
2 Chron. 26              Ezek. 43                John 19:17-42
2 Chron. 27, 28          Ezek. 44                John 20
2 Chron. 29              Ezek. 45                John 21
2 Chron. 30              Ezek. 46                1 John 1

December
2 Chron. 31              Ezek. 47                1 John 2:1-17
2 Chron. 32              Ezek. 48                1 John 2:18-29
2 Chron. 33              Dan. 1                  1 John 3
2 Chron. 34              Dan. 2:1-23             1 John 4
2 Chron. 35              Dan. 2:24-49            1 John 5
2 Chron. 36              Dan. 3                  2 John
Ezra 1, 2                Dan. 4                  3 John
Ezra 3, 4                Dan. 5                  Rev. 1
Ezra 5                   Dan. 6                  Rev. 2:1-17
Ezra 6                   Dan. 7                  Rev. 2:18 to 3:6
Ezra 7                   Dan. 8                  Rev. 3:7-22
Ezra 8                   Dan. 9                  Rev. 4
Ezra 9                   Dan. 10                 Rev. 5
Ezra 10                  Dan. 11:1-20            Rev. 6
Neh. 1, 2                Dan. 11:21-45           Rev. 7
Neh. 3                   Dan. 12                 Rev. 8
